customer_id,churn_probability,risk_level,segment_name,key_risk_factors,recommendation_category,recommendation,priority,reason,hypothetical_intervention_impact
CUST-04518,0.9674,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.7%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-02728,0.9673,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.7%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-03350,0.9671,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.7%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-00302,0.9668,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.7%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-06483,0.9668,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.7%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-03750,0.9668,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.7%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-00906,0.9666,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.7%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-03728,0.9657,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.6%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-01027,0.9656,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.6%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-02632,0.9652,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.5%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-02746,0.9647,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.5%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-06840,0.9645,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.4%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-06867,0.9644,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.4%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-01411,0.9639,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.4%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-00040,0.9637,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.4%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-04951,0.9634,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.3%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-03920,0.9633,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.3%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-02185,0.9627,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.3%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-06090,0.962,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.2%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-00970,0.9618,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.2%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-03347,0.9617,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.2%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-05283,0.961,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.1%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-06366,0.961,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.1%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-00984,0.9598,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.0%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-04454,0.9596,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.0%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-04586,0.9596,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.0%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-00535,0.9591,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (95.9%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-04082,0.9587,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (95.9%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-02822,0.9586,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (95.9%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-06496,0.9584,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (95.8%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-06934,0.9584,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (95.8%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-03381,0.9582,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (95.8%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-02892,0.9579,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (95.8%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-06489,0.9577,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (95.8%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-06216,0.9576,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (95.8%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-03427,0.9571,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (95.7%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-06765,0.9565,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (95.7%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-03831,0.9565,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (95.6%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-06492,0.9565,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (95.7%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-01732,0.9563,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (95.6%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-03302,0.9563,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (95.6%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-05783,0.9563,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (95.6%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-04213,0.9561,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (95.6%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-07033,0.956,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (95.6%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-00977,0.9559,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (95.6%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-02928,0.9559,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (95.6%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
